City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,talcahuano,-36.7167,-73.1167,11.82,87,100,5.66,CL,1721759592
302,thongwa,16.7619,96.5278,26.09,91,100,3.01,MM,1721759694
303,watampone,-4.5386,120.3279,22.72,90,65,1.33,ID,1721759695
304,yelan'-koleno,51.1523,41.2306,18.58,63,100,3.84,RU,1721759696
305,ashland,40.8167,-82.2665,28.83,68,23,3.93,US,1721759697
306,walvis bay,-22.9575,14.5053,11.72,87,14,1.54,NA,1721759700
307,lorengau,-2.0226,147.2712,26.16,84,94,2.28,PG,1721759701
308,youghal,51.95,-7.8506,17.56,86,100,4.1,IE,1721759702
309,annau,37.8876,58.516,32.72,38,0,4.12,TM,1721759705
310,castillos,-34.1667,-53.8333,20.75,75,6,1.37,UY,1721759706
311,bikenibeu village,1.3673,173.1241,27.98,83,40,2.57,KI,1721759707
312,tazovsky,67.4667,78.7,8.78,64,99,7.04,RU,1721759708
313,oravita,45.0325,21.6894,25.15,50,47,1.08,RO,1721759711
314,shendi,16.6915,33.4341,32.8,43,91,5.32,SD,1721759712
315,arendal,58.4615,8.7725,18.89,75,20,2.99,NO,1721759713
316,revda,56.801,59.9303,10.86,71,100,0.95,RU,1721759714
317,plastun,44.7561,136.2939,16.15,97,100,0.87,RU,1721759715
318,enewetak,11.3474,162.3373,28.38,78,29,7.12,MH,1721759716
319,al jawf,29.5,38.75,31.01,14,7,3.48,SA,1721759718
320,karwar,14.8,74.1333,27.79,84,100,8.15,IN,1721759719
321,kiama,-34.6833,150.8667,10.88,72,43,0.89,AU,1721759720
322,madison,34.7334,-86.5667,24.96,95,75,1.54,US,1721759535
323,astrakhan,46.3497,48.0408,26.93,69,0,3.0,RU,1721759722
324,khabary,53.6259,79.5345,18.45,79,92,2.37,RU,1721759723
325,calama,-22.4667,-68.9333,21.27,16,0,9.77,CL,1721759697
326,rio guayabal de yateras,20.3667,-75.0167,32.99,47,77,2.38,CU,1721759726
327,char bhadrasan,23.3167,90.2167,26.64,94,100,3.41,BD,1721759727
328,gubkin,51.2817,37.5458,18.0,77,71,1.59,RU,1721759728
329,nizhniy kuranakh,58.8353,125.4869,15.49,81,10,0.42,RU,1721759729
330,woolgoolga,-30.1106,153.2007,9.93,86,2,2.57,AU,1721759730
331,kolwezi,-10.7148,25.4667,18.31,29,5,2.26,CD,1721759732
332,nizhneangarsk,55.7833,109.55,15.05,86,88,1.21,RU,1721759733
333,ternate,0.8,127.4,24.04,95,100,2.44,ID,1721759734
334,kathmandu,27.7167,85.3167,23.12,100,75,1.54,NP,1721759437
335,baker city,44.7749,-117.8344,31.9,18,0,2.44,US,1721759491
336,bamboo flat,11.7,92.7167,29.05,84,75,5.14,IN,1721759737
337,punta del este,-34.9667,-54.95,16.06,82,75,2.57,UY,1721759739
338,lodeynoye pole,60.726,33.5531,17.64,72,0,1.78,RU,1721759740
339,kayes,14.0,-11.0,28.9,72,17,2.78,ML,1721759741
340,lugu,23.7464,120.7525,24.02,89,100,1.3,TW,1721759743
341,chadron,42.8294,-102.9999,33.31,25,0,0.89,US,1721759744
